"date","ndvi_mean","talhao"
2018-05-19,0.534890286746148,"ESP_01"
2018-05-20,0.533082076662185,"ESP_01"
2018-05-21,0.531297387050259,"ESP_01"
2018-05-22,0.529536615831453,"ESP_01"
2018-05-23,0.527800144011393,"ESP_01"
2018-05-24,0.526088336007279,"ESP_01"
2018-05-25,0.524401539969616,"ESP_01"
2018-05-26,0.52274008809871,"ESP_01"
2018-05-27,0.521104296956026,"ESP_01"
2018-05-28,0.519494467770486,"ESP_01"
2018-05-29,0.517910886739783,"ESP_01"
2018-05-30,0.516353825326798,"ESP_01"
2018-05-31,0.514823540551193,"ESP_01"
2018-06-01,0.513320275276258,"ESP_01"
2018-06-02,0.511844258491092,"ESP_01"
2018-06-03,0.510395705588186,"ESP_01"
2018-06-04,0.50897481863649,"ESP_01"
2018-06-05,0.507581786650025,"ESP_01"
2018-06-06,0.506216785852127,"ESP_01"
2018-06-07,0.504879979935384,"ESP_01"
2018-06-08,0.503571520317329,"ESP_01"
2018-06-09,0.502291546391982,"ESP_01"
2018-06-10,0.501040185777273,"ESP_01"
2018-06-11,0.499817554558446,"ESP_01"
2018-06-12,0.498623757527486,"ESP_01"
2018-06-13,0.497458888418654,"ESP_01"
2018-06-14,0.496323030140163,"ESP_01"
2018-06-15,0.495216255002098,"ESP_01"
2018-06-16,0.494138624940603,"ESP_01"
2018-06-17,0.493090191738424,"ESP_01"
2018-06-18,0.492070997241848,"ESP_01"
2018-06-19,0.491081073574115,"ESP_01"
2018-06-20,0.490120443345336,"ESP_01"
2018-06-21,0.489189119859008,"ESP_01"
2018-06-22,0.488287107315147,"ESP_01"
2018-06-23,0.487414401010119,"ESP_01"
2018-06-24,0.486570987533212,"ESP_01"
2018-06-25,0.485756844960008,"ESP_01"
2018-06-26,0.484971943042598,"ESP_01"
2018-06-27,0.484216243396708,"ESP_01"
2018-06-28,0.483489699685771,"ESP_01"
2018-06-29,0.482792257802005,"ESP_01"
2018-06-30,0.482123856044544,"ESP_01"
2018-07-01,0.48148442529467,"ESP_01"
2018-07-02,0.480873889188187,"ESP_01"
2018-07-03,0.480292164285006,"ESP_01"
2018-07-04,0.479739160235958,"ESP_01"
2018-07-05,0.479214779946905,"ESP_01"
2018-07-06,0.478718919740175,"ESP_01"
2018-07-07,0.478251469513384,"ESP_01"
2018-07-08,0.477812312895673,"ESP_01"
2018-07-09,0.477401327401406,"ESP_01"
2018-07-10,0.47701838458138,"ESP_01"
2018-07-11,0.476663350171576,"ESP_01"
2018-07-12,0.476336084239503,"ESP_01"
2018-07-13,0.476036441328159,"ESP_01"
2018-07-14,0.475764270597675,"ESP_01"
2018-07-15,0.475519415964647,"ESP_01"
2018-07-16,0.475301716239228,"ESP_01"
2018-07-17,0.475111005259979,"ESP_01"
2018-07-18,0.47494711202657,"ESP_01"
2018-07-19,0.474809860830298,"ESP_01"
2018-07-20,0.474699071382526,"ESP_01"
2018-07-21,0.474614558941025,"ESP_01"
2018-07-22,0.474556134434285,"ESP_01"
2018-07-23,0.47452360458382,"ESP_01"
2018-07-24,0.474516772024488,"ESP_01"
2018-07-25,0.474535435422884,"ESP_01"
2018-07-26,0.474579389593812,"ESP_01"
2018-07-27,0.474648425614886,"ESP_01"
2018-07-28,0.474742330939278,"ESP_01"
2018-07-29,0.47486088950666,"ESP_01"
2018-07-30,0.475003881852347,"ESP_01"
2018-07-31,0.47517108521469,"ESP_01"
2018-08-01,0.475362273640745,"ESP_01"
2018-08-02,0.475577218090234,"ESP_01"
2018-08-03,0.475815686537834,"ESP_01"
2018-08-04,0.476077444073835,"ESP_01"
2018-08-05,0.476362253003163,"ESP_01"
2018-08-06,0.476669872942828,"ESP_01"
2018-08-07,0.477000060917794,"ESP_01"
2018-08-08,0.477352571455318,"ESP_01"
2018-08-09,0.477727156677774,"ESP_01"
2018-08-10,0.478123566393988,"ESP_01"
2018-08-11,0.478541548189099,"ESP_01"
2018-08-12,0.478980847512995,"ESP_01"
2018-08-13,0.479441207767315,"ESP_01"
2018-08-14,0.479922370391066,"ESP_01"
2018-08-15,0.48042407494486,"ESP_01"
2018-08-16,0.480946059193812,"ESP_01"
2018-08-17,0.481488059189094,"ESP_01"
2018-08-18,0.482049809348192,"ESP_01"
2018-08-19,0.482631042533877,"ESP_01"
2018-08-20,0.483231490131898,"ESP_01"
2018-08-21,0.483850882127449,"ESP_01"
2018-08-22,0.48448894718039,"ESP_01"
2018-08-23,0.485145412699275,"ESP_01"
2018-08-24,0.485820004914186,"ESP_01"
2018-08-25,0.486512448948399,"ESP_01"
2018-08-26,0.487222468888901,"ESP_01"
2018-08-27,0.487949787855778,"ESP_01"
2018-08-28,0.488694128070476,"ESP_01"
2018-08-29,0.489455210922981,"ESP_01"
2018-08-30,0.490232757037906,"ESP_01"
2018-08-31,0.491026486339522,"ESP_01"
2018-09-01,0.491836118115734,"ESP_01"
2018-09-02,0.492661371081036,"ESP_01"
2018-09-03,0.493501963438442,"ESP_01"
2018-09-04,0.494357612940422,"ESP_01"
2018-09-05,0.495228036948851,"ESP_01"
2018-09-06,0.496112952493988,"ESP_01"
2018-09-07,0.497012076332502,"ESP_01"
2018-09-08,0.497925125004558,"ESP_01"
2018-09-09,0.49885181488997,"ESP_01"
2018-09-10,0.499791862263445,"ESP_01"
2018-09-11,0.50074498334893,"ESP_01"
2018-09-12,0.501710894373076,"ESP_01"
2018-09-13,0.502689311617808,"ESP_01"
2018-09-14,0.503679951472062,"ESP_01"
2018-09-15,0.504682530482662,"ESP_01"
2018-09-16,0.50569676540435,"ESP_01"
